LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,GLOBAL_DATA_COMPLEXITY,GLOBAL_DATA_DENSITY,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,defects,id
12,7,0,0,16,12,4,0.1,6,2.0,1,0.25,16,1,0.0,39,2,4,1.0,18.17,33.73,20674.45,0.2,132,0.03,1148.58,612.99,0.25,3,6,14,0.06,53,79,11,14,69,29.09,39,False,1
10,13,2,0,11,24,7,0.29,12,2.0,1,0.14,26,5,0.67,24,0,0,0.0,32.5,17.19,9606.08,0.19,105,0.06,533.67,558.8,0.71,6,12,21,0.15,38,67,21,19,47,31.43,24,True,2
15,1,1,0,13,0,1,0.05,0,0.0,1,1.0,2,1,0.0,21,0,1,1.0,71.25,9.69,6686.47,0.23,128,0.1,371.47,690.22,1.0,0,0,3,0.02,62,66,32,10,51,38.24,21,False,3
5,1,1,4,2,0,1,0.11,0,0.0,1,1.0,3,1,0.0,5,1,1,1.0,17.11,10.29,1810.29,0.06,44,0.1,100.57,176.0,1.0,0,0,4,0.06,16,28,7,9,18,54.55,9,False,4
50,89,8,12,75,156,45,0.21,68,2.29,15,0.33,181,30,0.66,205,0,43,0.96,106.02,67.9,488861.64,2.4,1037,0.01,27158.98,7199.39,0.67,44,78,138,0.13,421,616,93,30,344,29.79,217,True,5
14,13,3,3,17,24,7,0.1,12,2.0,5,0.71,30,1,0.0,66,0,7,1.0,49.82,40.86,83172.01,0.68,349,0.02,4620.67,2035.68,0.14,6,12,25,0.07,130,219,35,22,102,23.26,69,False,6
0,1,1,0,0,0,1,0.5,0,0.0,1,1.0,2,1,0.0,2,0,0,0.0,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1.0,0,0,3,0.25,2,3,2,3,4,0.0,2,False,7
8,3,1,5,8,4,2,0.04,2,2.0,1,0.5,21,1,0.0,43,0,2,1.0,69.69,27.79,53839.29,0.65,345,0.04,2991.07,1937.07,0.5,1,2,21,0.03,126,219,34,15,66,23.21,48,False,8
0,1,0,0,0,0,1,0.25,0,0.0,1,1.0,1,1,0.0,4,4,1,1.0,13.84,6.42,569.87,0.03,24,0.16,31.66,88.81,1.0,0,0,2,0.17,11,13,6,7,6,0.0,4,True,9
4,13,3,0,3,24,7,0.2,12,2.0,7,1.0,33,6,0.83,35,2,7,1.0,34.45,12.83,5673.31,0.15,91,0.08,315.18,442.08,0.86,6,12,28,0.16,42,49,18,11,44,7.89,35,False,10
16,19,0,0,22,30,10,0.2,12,2.5,1,0.1,31,7,0.67,50,0,7,0.7,21.17,41.36,36223.29,0.29,191,0.02,2012.4,875.73,0.7,9,15,23,0.11,70,121,11,13,90,30.56,50,False,11
3,9,0,0,2,16,5,0.5,8,2.0,1,0.2,21,1,0.0,10,3,4,0.8,19.92,14.32,4084.22,0.1,66,0.07,226.9,285.25,0.2,4,8,18,0.29,35,31,11,9,17,16.67,10,True,12
1,9,3,0,0,16,5,0.19,8,2.0,4,0.8,22,5,1.0,27,0,4,0.8,29.15,10.71,3341.46,0.1,63,0.09,185.64,312.11,1.0,4,8,19,0.17,26,37,17,14,30,0.0,27,True,13
35,97,3,0,51,168,49,0.18,72,2.33,8,0.16,210,34,0.69,265,0,42,0.86,54.71,125.67,864010.77,2.29,1118,0.01,48000.6,6875.42,0.69,48,86,163,0.14,435,683,45,26,353,16.14,265,True,14
0,7,0,0,0,10,4,1.0,4,2.5,1,0.25,11,3,0.67,4,3,4,1.0,7.75,9.0,627.65,0.02,22,0.11,34.87,69.74,0.75,3,5,9,0.67,9,13,3,6,6,0.0,4,False,15
