LOC_BLANK,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,defects,id
2,1,0,0,3,0,1,0.17,0,0.0,1,1.0,1,1,0.0,6,1,14.09,5.4,410.98,0.03,22,0.19,22.83,76.11,1.0,0,0,2,0.08,9,13,5,6,12,33.33,6,False,1
3,5,4,0,4,8,3,0.25,4,2.0,3,1.0,11,1,0.0,12,2,42.23,6.94,2036.45,0.1,61,0.14,113.14,293.25,0.33,2,4,10,0.15,25,36,18,10,20,25.0,12,False,2
4,11,2,0,8,20,6,0.3,10,2.0,3,0.5,24,1,0.0,20,1,22.99,18.44,7817.84,0.14,82,0.05,434.32,423.93,0.17,5,10,20,0.18,33,49,17,19,33,28.57,20,False,3
2,7,4,0,1,12,4,0.25,6,2.0,4,1.0,19,4,1.0,16,0,42.95,4.15,741.1,0.06,42,0.24,41.17,178.41,1.0,3,6,17,0.2,18,24,13,6,20,5.88,16,False,4
1,1,3,0,4,0,1,0.14,0,0.0,1,1.0,6,1,0.0,7,0,44.57,3.46,534.07,0.05,37,0.29,29.67,154.29,1.0,0,0,7,0.08,18,19,13,5,13,36.36,7,False,5
1,5,4,0,0,8,3,0.27,4,2.0,3,1.0,13,1,0.0,11,0,31.66,6.43,1308.6,0.07,45,0.16,72.7,203.56,0.33,2,4,12,0.23,20,25,14,9,13,0.0,11,False,6
11,12,10,0,15,6,9,0.16,2,3.0,8,0.89,29,1,0.0,58,0,39.93,28.29,31947.46,0.38,170,0.04,1774.86,1129.46,0.11,2,3,22,0.11,72,98,56,44,85,20.55,58,False,7
2,1,2,13,4,0,1,0.06,0,0.0,1,1.0,15,1,0.0,3,1,104.67,3.73,1454.15,0.13,83,0.27,80.79,390.14,1.0,0,0,16,0.04,41,42,22,4,23,85.0,16,False,8
1,3,1,0,1,4,2,0.2,2,2.0,1,0.5,7,1,0.0,10,2,14.32,7.71,852.01,0.04,26,0.13,47.33,110.45,0.5,1,2,7,0.15,9,17,7,12,13,9.09,10,False,9
4,9,2,0,8,14,5,0.31,6,2.33,2,0.4,18,4,0.0,16,0,16.51,22.88,8646.51,0.13,77,0.04,480.36,377.83,0.8,4,7,15,0.17,35,42,13,17,29,33.33,16,False,10
5,5,1,0,3,8,3,0.2,4,2.0,2,0.67,10,1,0.0,15,2,17.13,15.61,4172.6,0.09,53,0.06,231.81,267.35,0.33,2,4,9,0.13,23,30,14,19,24,16.67,15,False,11
2,1,1,0,0,0,1,0.06,0,0.0,1,1.0,13,1,0.0,17,0,48.18,7.31,2576.16,0.12,79,0.14,143.12,352.3,1.0,0,0,14,0.05,39,40,16,6,20,0.0,17,False,12
1,1,1,0,0,0,1,0.17,0,0.0,1,1.0,2,1,0.0,6,0,9.6,6.13,360.21,0.02,17,0.16,20.01,58.81,1.0,0,0,3,0.13,7,10,4,7,8,0.0,6,False,13
7,3,3,0,21,4,2,0.18,2,2.0,1,0.5,10,1,0.0,11,4,23.74,8.88,1873.84,0.07,46,0.11,104.1,210.91,0.5,1,2,10,0.05,21,25,13,11,40,65.63,11,False,14
3,5,4,0,6,8,3,0.18,4,2.0,3,1.0,13,1,0.0,17,1,39.99,5.59,1248.86,0.07,47,0.18,69.38,223.48,0.33,2,4,12,0.11,19,28,17,10,27,26.09,17,False,15
2,3,3,0,0,0,2,0.07,0,0.0,2,1.0,7,1,0.0,28,2,29.49,12.89,4898.45,0.13,67,0.08,272.14,380.05,0.5,0,0,7,0.06,29,38,27,24,31,0.0,28,False,16
2,7,4,0,0,12,4,0.33,6,2.0,3,0.75,15,1,0.0,12,0,27.49,6.42,1132.02,0.06,39,0.16,62.89,176.42,0.25,3,6,13,0.27,14,25,12,11,15,0.0,12,False,17
3,6,5,0,0,4,4,0.2,2,2.0,4,1.0,15,1,0.0,20,0,31.73,7.46,1767.82,0.08,51,0.13,98.21,236.84,0.25,1,2,13,0.17,19,32,14,11,24,0.0,20,False,18
6,3,6,0,5,4,2,0.15,2,2.0,2,1.0,13,1,0.0,13,0,56.22,3.44,664.34,0.06,44,0.29,36.91,193.26,0.5,1,2,13,0.08,22,22,16,5,25,27.78,13,False,19
15,11,10,0,13,16,6,0.14,6,2.67,5,0.83,50,4,0.0,44,0,67.17,16.45,18176.24,0.37,192,0.06,1009.79,1104.94,0.67,5,8,46,0.08,94,98,40,14,73,22.81,44,False,20
0,1,1,0,0,0,1,0.2,0,0.0,1,1.0,4,1,0.0,5,0,16.21,2.25,82.12,0.01,13,0.44,4.56,36.5,1.0,0,0,5,0.17,6,7,4,3,6,0.0,5,False,21
1,1,0,0,3,0,1,0.33,0,0.0,1,1.0,1,1,0.0,3,1,9.88,5.25,272.43,0.02,15,0.19,15.14,51.89,1.0,0,0,2,0.13,6,9,4,7,8,50.0,3,False,22
