id,BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DECISION_DENSITY,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,defects
1,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.5,1,3,1,3,2,0.0,0,False
2,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,0,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0,0,3,1.0,1,0,1,0,1,0.0,0,False
3,1,4,7,24,0,1,0.13,0,0.0,1,1.0,6,1,0,1,0,17.88,7.43,986.77,0.04,34,0.13,54.82,132.83,1.0,0,0,7,0.03,13,21,7,8,34,96.88,8,False
4,1,1,11,3,0,1,0.08,0,0.0,1,1.0,2,1,0,1,0,42.62,7.81,2598.31,0.11,77,0.13,144.35,332.79,1.0,0,0,3,0.06,29,48,13,7,17,93.33,12,False
5,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,1,3,33.44,0.63,13.06,0.01,9,1.6,0.73,20.9,1.0,0,0,3,0.33,5,4,4,1,3,0.0,1,False
6,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,0,1,4.0,0.5,1.0,0.0,2,2.0,0.06,2.0,1.0,0,0,3,1.0,1,1,1,1,1,0.0,0,False
7,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,2,10.87,3.5,133.19,0.01,11,0.29,7.4,38.05,1.0,0,0,2,0.33,4,7,4,7,3,50.0,2,False
8,3,1,1,0,6,2,1.0,2,3.0,1,0.5,5,1,0,1,1,11.07,4.38,211.89,0.02,14,0.23,11.77,48.43,0.5,2,3,5,0.5,5,9,4,7,4,50.0,2,False
9,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1.0,0,0,2,0.25,2,3,2,3,4,50.0,2,False
10,5,1,9,10,6,3,0.25,2,3.0,2,0.67,9,3,1,3,3,15.53,18.9,5545.97,0.1,64,0.05,308.11,293.44,1.0,2,3,8,0.13,27,37,10,14,24,86.36,12,False
11,1,0,3,5,0,1,0.25,0,0.0,1,1.0,1,1,0,1,1,20.84,3.94,323.05,0.03,21,0.25,17.95,82.04,1.0,0,0,2,0.09,9,12,8,7,11,88.89,4,False
12,1,2,1,0,0,1,0.5,0,0.0,1,1.0,3,1,0,1,0,7.24,2.5,45.24,0.01,7,0.4,2.51,18.09,1.0,0,0,4,0.33,1,6,1,5,3,50.0,2,False
13,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,0,2,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1.0,0,0,3,1.0,3,5,3,5,1,0.0,0,False
14,1,3,2,0,0,1,0.33,0,0.0,1,1.0,5,1,0,1,0,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1.0,0,0,6,0.2,2,4,2,4,5,66.67,3,False
15,1,0,1,0,4,1,0.5,2,2.0,1,1.0,1,1,0,1,2,8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1.0,1,2,2,0.2,2,6,2,6,5,50.0,2,False
16,3,0,1,0,4,2,1.0,2,2.0,1,0.5,7,1,0,1,3,11.42,6.67,507.65,0.03,20,0.15,28.2,76.15,0.5,1,2,7,0.5,10,10,6,8,4,50.0,2,False
17,11,10,18,0,18,6,0.27,8,2.25,6,1.0,27,6,1,4,6,21.7,25.8,14446.14,0.19,111,0.04,802.56,559.93,1.0,5,9,23,0.23,43,68,15,18,26,81.82,22,False
18,1,1,3,0,0,1,0.25,0,0.0,1,1.0,2,1,0,1,11,33.98,3.5,416.3,0.04,28,0.29,23.13,118.94,1.0,0,0,3,0.17,12,16,12,7,6,75.0,4,False
19,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,0,2,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1.0,0,0,3,1.0,3,5,3,5,1,0.0,0,False
20,3,0,0,0,4,2,1.0,2,2.0,1,0.5,6,1,0,2,4,10.8,3.33,120.0,0.01,12,0.3,6.67,36.0,0.5,1,2,6,0.4,4,8,3,5,5,0.0,2,False
21,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
22,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1.0,0,0,2,0.33,1,4,1,4,3,50.0,2,False
23,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,0,2,9.6,2.5,60.0,0.01,8,0.4,3.33,24.0,1.0,0,0,3,1.0,3,5,3,5,1,0.0,0,False
24,3,0,8,0,4,2,0.22,2,2.0,1,0.5,6,1,0,1,3,18.88,36.9,25706.76,0.23,164,0.03,1428.15,696.66,0.5,1,2,6,0.15,82,82,10,9,13,88.89,9,False
25,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0,0,2,1.0,0,1,0,1,1,0.0,0,False
26,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,0,5.8,2.0,23.22,0.0,5,0.5,1.29,11.61,1.0,0,0,2,0.25,1,4,1,4,4,50.0,2,False
27,5,3,10,0,8,3,0.21,4,2.0,3,1.0,12,1,0,4,0,18.12,4.2,319.65,0.03,22,0.24,17.76,76.11,0.33,2,4,11,0.19,7,15,5,6,16,71.43,14,False
28,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
29,1,2,3,8,0,1,0.25,0,0.0,1,1.0,3,1,0,1,0,17.13,4.0,274.13,0.02,18,0.25,15.23,68.53,1.0,0,0,4,0.07,6,12,6,8,14,91.67,4,False
30,1,0,3,0,0,1,0.25,0,0.0,1,1.0,1,1,0,1,1,10.68,4.67,232.53,0.02,15,0.21,12.92,49.83,1.0,0,0,2,0.17,4,11,3,7,6,75.0,4,False
31,1,1,3,0,0,1,0.25,0,0.0,1,1.0,2,1,0,1,7,22.33,3.5,273.48,0.03,20,0.29,15.19,78.14,1.0,0,0,3,0.2,8,12,8,7,5,75.0,4,False
32,13,7,18,7,20,7,0.32,8,2.5,6,0.86,29,5,0,4,4,32.27,18.21,10705.77,0.2,112,0.05,594.77,587.77,0.71,6,11,24,0.21,45,67,21,17,34,86.21,22,False
33,9,1,11,0,14,5,0.36,6,2.33,1,0.2,17,3,0,3,5,11.2,22.75,5798.42,0.08,60,0.04,322.13,254.88,0.6,4,7,14,0.25,21,39,6,13,20,78.57,14,False
34,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,6.2,2.5,38.77,0.01,6,0.4,2.15,15.51,1.0,0,0,2,0.25,1,5,1,5,4,50.0,2,False
35,1,0,1,0,4,1,0.5,2,2.0,1,1.0,1,1,0,1,2,8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,1.0,1,2,2,0.25,2,6,2,6,4,50.0,2,False
36,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,2,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1.0,0,0,2,1.0,2,4,2,4,1,0.0,0,False
37,3,1,5,0,4,2,0.29,2,2.0,1,0.5,6,1,0,2,0,9.6,6.13,360.21,0.02,17,0.16,20.01,58.81,0.5,1,2,6,0.22,7,10,4,7,9,71.43,7,False
38,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,1.0,0,0,2,0.25,2,3,2,3,4,50.0,2,False
39,1,0,0,0,0,1,1.0,0,0.0,1,1.0,1,1,0,0,2,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0,0,2,1.0,0,1,0,1,1,0.0,0,False
40,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,1,2,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,1.0,0,0,3,0.5,2,0,2,0,2,0.0,1,False
41,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,0,2,9.51,0.5,2.38,0.0,3,2.0,0.13,4.75,1.0,0,0,3,1.0,2,1,2,1,1,0.0,0,False
42,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
43,7,4,10,0,10,4,0.33,4,2.5,4,1.0,15,4,1,2,2,17.63,12.0,2538.28,0.07,44,0.08,141.02,211.52,1.0,3,5,13,0.29,18,26,12,16,14,83.33,12,False
44,1,3,1,0,0,1,0.5,0,0.0,1,1.0,4,1,0,1,2,9.9,3.33,110.0,0.01,11,0.3,6.11,33.0,1.0,0,0,5,0.17,4,7,3,5,6,50.0,2,False
45,9,4,42,2,16,5,0.11,8,2.0,3,0.6,31,1,0,4,0,77.05,18.6,26664.97,0.48,261,0.05,1481.39,1433.37,0.2,4,8,28,0.1,115,146,34,11,50,91.67,46,False
46,1,1,0,0,0,1,1.0,0,0.0,1,1.0,2,1,0,0,1,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1.0,0,0,3,1.0,2,4,2,4,1,0.0,0,False
47,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,0,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,1.0,0,0,2,0.25,2,4,2,4,4,50.0,2,False
48,3,1,4,1,4,2,0.4,2,2.0,2,1.0,6,1,0,1,1,11.52,3.75,161.94,0.01,13,0.27,9.0,43.19,0.5,1,2,6,0.25,5,8,4,6,8,83.33,5,False
49,1,0,1,0,0,1,0.5,0,0.0,1,1.0,1,1,0,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1.0,0,0,2,0.25,1,3,1,3,4,50.0,2,False
